x_um	field_Hz
3.729539999999999509e+02	1.000000000000000000e+00
3.739729999999999563e+02	1.000000000000000000e+00
3.749920000000000186e+02	1.000000000000000000e+00
3.760109999999999673e+02	1.000000000000000000e+00
3.770299999999999727e+02	1.000000000000000000e+00
3.780489999999999782e+02	1.000000000000000000e+00
3.790679999999999836e+02	1.000000000000000000e+00
3.800869999999999891e+02	1.000000000000000000e+00
3.811059999999999945e+02	1.000000000000000000e+00
3.821250000000000000e+02	1.000000000000000000e+00
3.831439999999999486e+02	1.000000000000000000e+00
3.841629999999999541e+02	1.000000000000000000e+00
3.851819999999999595e+02	1.000000000000000000e+00
3.862009999999999650e+02	1.000000000000000000e+00
3.872199999999999704e+02	1.000000000000000000e+00
3.882389999999999759e+02	1.000000000000000000e+00
3.892579999999999814e+02	1.000000000000000000e+00
3.902769999999999868e+02	1.000000000000000000e+00
3.912959999999999354e+02	1.000000000000000000e+00
3.923149999999999409e+02	1.000000000000000000e+00
3.933339999999999463e+02	1.000000000000000000e+00
3.943529999999999518e+02	1.000000000000000000e+00
3.953719999999999573e+02	1.000000000000000000e+00
3.963909999999999627e+02	1.000000000000000000e+00
3.974099999999999682e+02	1.000000000000000000e+00
3.984289999999999736e+02	1.000000000000000000e+00
3.994479999999999222e+02	1.000000000000000000e+00
4.004669999999999277e+02	1.000000000000000000e+00
4.014859999999999332e+02	1.000000000000000000e+00
4.025049999999999386e+02	1.000000000000000000e+00
4.035239999999999441e+02	1.000000000000000000e+00
4.045429999999999495e+02	1.000000000000000000e+00
4.055619999999999550e+02	1.000000000000000000e+00
4.065809999999999604e+02	1.000000000000000000e+00
4.075999999999999091e+02	1.000000000000000000e+00
4.086189999999999714e+02	1.000000000000000000e+00
4.096379999999999768e+02	1.000000000000000000e+00
4.106569999999999823e+02	1.000000000000000000e+00
4.116759999999999877e+02	1.000000000000000000e+00
4.126949999999999932e+02	1.000000000000000000e+00
4.137139999999999986e+02	1.000000000000000000e+00
4.147329999999999472e+02	1.000000000000000000e+00
4.157519999999999527e+02	1.000000000000000000e+00
4.167709999999999582e+02	1.000000000000000000e+00
4.177899999999999636e+02	1.000000000000000000e+00
4.188089999999999691e+02	1.000000000000000000e+00
4.198279999999999745e+02	1.000000000000000000e+00
4.208469999999999800e+02	1.000000000000000000e+00
4.218659999999999854e+02	1.000000000000000000e+00
4.228849999999999341e+02	1.000000000000000000e+00
4.239039999999999395e+02	1.000000000000000000e+00
4.249229999999999450e+02	1.000000000000000000e+00
4.259419999999999504e+02	1.000000000000000000e+00
4.269609999999999559e+02	1.000000000000000000e+00
4.279799999999999613e+02	1.000000000000000000e+00
4.289989999999999668e+02	1.000000000000000000e+00
4.300179999999999723e+02	1.000000000000000000e+00
4.310369999999999209e+02	1.000000000000000000e+00
4.320559999999999263e+02	1.000000000000000000e+00
4.330749999999999318e+02	1.000000000000000000e+00
4.340939999999999372e+02	1.000000000000000000e+00
4.351129999999999427e+02	1.000000000000000000e+00
4.361319999999999482e+02	1.000000000000000000e+00
4.371509999999999536e+02	1.000000000000000000e+00
4.381699999999999591e+02	1.000000000000000000e+00
4.391889999999999077e+02	1.000000000000000000e+00
4.402079999999999700e+02	1.000000000000000000e+00
4.412269999999999754e+02	1.000000000000000000e+00
4.422459999999999809e+02	1.000000000000000000e+00
4.432649999999999864e+02	1.000000000000000000e+00
4.442839999999999918e+02	1.000000000000000000e+00
4.453029999999999973e+02	1.000000000000000000e+00
4.463219999999999459e+02	1.000000000000000000e+00
