sample_idx,rel_param_dist,mae_counts_per_shot,rmse_counts_per_shot,flip_rate,total_shift_vs_baseline,total_defects,corrected_total,rejected_total,param__gaussian_sigma,param__derivative_threshold,param__derivative_threshold_pos,param__derivative_threshold_neg,param__peak_step_filter_enabled,param__peak_step_filter_window_px,param__peak_step_filter_min_abs_delta_m,param__min_same_sign_peak_distance_um,param__zero_crossing_min_distance_um,param__defect_position_hist_half_window_um
41,0.23968574419067784,0.7407407407407407,1.186342028003479,0.4444444444444444,-8,441,19,76,0.38162121136001304,0.0,0.04375229363280535,-0.03414363843882239,True,5,0.09985294250982711,5.370822373242245,4.233404930794022,4.0
209,0.22624309345267393,0.7407407407407407,1.186342028003479,0.4444444444444444,10,459,20,20,0.2157943603567185,0.0,0.04866722144980271,-0.041248638722418705,True,3,0.09575716207385115,6.556851682549076,4.22257963556481,4.0
150,0.21864660652509038,0.7407407407407407,1.1221672153735642,0.48148148148148145,10,459,20,66,0.37607511888179096,0.0,0.036621067164333145,-0.03922957376014892,True,5,0.08131737135484748,8.479451029738945,2.8658798434164705,4.0
297,0.1796705648367346,0.7407407407407407,1.1221672153735642,0.48148148148148145,-18,431,27,48,0.27895711995715144,0.0,0.05442693262174036,-0.04133504571319659,True,3,0.12853976642382778,5.6043034831024805,2.7993310847582933,4.0
5,0.235664299851689,0.7777777777777778,1.319371343004213,0.4074074074074074,11,460,65,51,0.25109673969332463,0.0,0.06657272355619247,-0.03026499668858613,True,2,0.09935167664486289,8.354398131528175,2.6695027046355815,4.0
100,0.18150543732186167,0.7777777777777778,1.401057801435388,0.4074074074074074,11,460,32,11,0.3762105402431536,0.0,0.052674969774321276,-0.04263631741215955,True,3,0.08333237722260411,5.900771231182767,3.1253457928779858,4.0
10,0.16026066577987566,0.7777777777777778,1.2322818340454909,0.4444444444444444,-3,446,50,17,0.28732654621043,0.0,0.06465792508828344,-0.04301238178923381,True,4,0.07674318805090222,5.9714016127735325,3.414369922879191,4.0
98,0.15852013831807296,0.7777777777777778,1.2322818340454909,0.4444444444444444,-21,428,27,49,0.2879694763415756,0.0,0.05307274167706187,-0.04032288169529853,True,4,0.12325091802623073,5.175941616255634,2.4982456948846616,4.0
262,0.2131415271298854,0.7777777777777778,1.2322818340454909,0.4444444444444444,11,460,29,47,0.2520520218324598,0.0,0.0466011218835213,-0.03795169920470376,True,5,0.06653220724458152,8.967240580680254,2.72277427243477,4.0
130,0.16444283989612243,0.7777777777777778,1.2909944487358056,0.4444444444444444,15,464,28,90,0.28798698200603823,0.0,0.03996558945146491,-0.03219678262154516,True,3,0.11731442391057943,7.82311843134266,2.9531214109588397,4.0
48,0.14614951784211636,0.7777777777777778,1.3743685418725535,0.4444444444444444,15,464,35,48,0.27517968391530273,0.0,0.05279568797791687,-0.033634821289406154,True,3,0.10221608568757615,5.090153428878111,2.8620341643009737,4.0
6,0.14446953993971048,0.7777777777777778,1.1706281947614154,0.48148148148148145,13,462,35,30,0.2927175192192652,0.0,0.056104539710888364,-0.03540414065147416,True,4,0.07826957991725589,7.107412084945787,3.9368344961516413,4.0
155,0.17481562560125777,0.7777777777777778,1.2018504251546631,0.48148148148148145,-9,440,84,24,0.32551588624615596,0.0,0.0757304550055842,-0.041595544900366196,True,4,0.08759423844266562,6.484876579661758,3.2734114636302465,4.0
29,0.14937049979852643,0.7777777777777778,1.1385500851066221,0.5185185185185185,-11,438,20,66,0.2650177402588292,0.0,0.0428874316994264,-0.04152366265502814,True,4,0.12132338851636247,6.805754261228497,3.3434026870997506,4.0
4,0.27195594410738566,0.8148148148148148,1.632993161855452,0.37037037037037035,16,465,27,40,0.1724479304214886,0.0,0.04991734132755287,-0.034695773948807455,True,2,0.10229205264536699,5.154566371830764,2.726616964116629,4.0
250,0.21821525404590328,0.8148148148148148,1.632993161855452,0.37037037037037035,16,465,44,60,0.24820173093460374,0.0,0.05814803430061022,-0.02970053551055473,True,2,0.102543494133085,7.600349735251074,2.58312951078048,4.0
271,0.3081171109017501,0.8148148148148148,1.2171612389003692,0.48148148148148145,-18,431,33,63,0.49536171116428873,0.0,0.05573930787935319,-0.031189191070631072,True,4,0.11730146286562489,10.035839345710551,3.306328901055595,4.0
79,0.2398828011922561,0.8148148148148148,1.247219128924647,0.48148148148148145,-20,429,28,72,0.2343895223112091,0.0,0.05434778649455043,-0.034757203766966505,True,3,0.12944843202710646,10.16811496045069,2.918922330566644,4.0
186,0.22719572908768526,0.8148148148148148,1.186342028003479,0.5185185185185185,-16,433,29,52,0.24662346181372685,0.0,0.0547974838596629,-0.04106965931992269,True,2,0.12189688761365763,6.888441444923944,2.8885499165510806,4.0
1,0.23978351088570068,0.8148148148148148,1.2171612389003692,0.5185185185185185,-4,445,26,69,0.40287640544905,0.0,0.05033677945986901,-0.03130139231680621,True,2,0.11029279431053113,7.517905315486112,3.0639199895544293,4.0
287,0.32914522195798446,0.8148148148148148,1.2765694770084508,0.5185185185185185,2,451,25,9,0.43949801674824635,0.0,0.053958192139782514,-0.04179249828695702,True,2,0.09821136564514225,6.663047416667659,4.5044265263704855,4.0
252,0.17136221985742517,0.8148148148148148,1.1547005383792515,0.5555555555555556,-10,439,25,80,0.3642794472546966,0.0,0.04729966496011161,-0.033677776579233445,True,3,0.12554062535514574,6.323121580700004,3.1175043355043544,4.0
170,0.3445983143839016,0.8518518518518519,1.575271875417536,0.37037037037037035,13,462,66,18,0.5210058397872895,0.0,0.06333479983322542,-0.03642075801422375,True,2,0.09592425017477801,6.281892520695845,2.875162942064927,4.0
64,0.3307046420268726,0.8518518518518519,1.3743685418725535,0.4444444444444444,-23,426,27,9,0.5242176601739731,0.0,0.053290145393996124,-0.04657686860675964,True,4,0.08785710569001501,7.233177208173855,2.14758035338938,4.0
68,0.15843326082355355,0.8518518518518519,1.3743685418725535,0.4444444444444444,1,450,33,15,0.36196182781953967,0.0,0.050102085861997284,-0.04583474208843436,True,4,0.08555866775087294,7.5625659787406825,2.86668321530834,4.0
235,0.26036301372636317,0.8518518518518519,1.4272480642961256,0.4444444444444444,1,450,68,13,0.4685641728638116,0.0,0.06805855226865741,-0.04001239815567831,True,3,0.09293163429041122,6.873330761248372,3.3563214671364614,4.0
266,0.25256786298913264,0.8518518518518519,1.4782371884055634,0.4444444444444444,9,458,45,56,0.29326276979150806,0.0,0.06180720766934643,-0.03050883058984141,True,2,0.10182254322385405,4.350520509252566,3.4311342646888114,4.0
21,0.12024503497789514,0.8518518518518519,1.2909944487358056,0.48148148148148145,-19,430,28,85,0.2824554657448163,0.0,0.053439871857946956,-0.029365503743710032,True,4,0.12457245792008496,6.2797599969853986,2.969442444687262,4.0
168,0.13199215447533474,0.8518518518518519,1.2909944487358056,0.48148148148148145,-17,432,25,77,0.29998914227796886,0.0,0.04836169095519919,-0.03584487068976874,True,5,0.1045141170404831,5.833075397756953,2.6390591982892566,4.0
247,0.15541425748767318,0.8518518518518519,1.2909944487358056,0.48148148148148145,-15,434,35,94,0.2973191124534679,0.0,0.056047322725938854,-0.02836691023797883,True,5,0.11388800096559881,5.451963818076781,2.865102269382657,4.0
108,0.22576655602110426,0.8518518518518519,1.3471506281091268,0.48148148148148145,1,450,30,25,0.28496284711348924,0.0,0.05148954530601358,-0.0435320696266836,True,2,0.11038842536239475,8.005884070352197,2.710051961822395,4.0
39,0.16502532290403676,0.8518518518518519,1.2619796324000607,0.5185185185185185,-17,432,26,62,0.23178782806614145,0.0,0.046432851211031974,-0.042899425873160826,True,5,0.103202751103086,7.067522522618494,2.9680938068894447,4.0
101,0.15076885310665578,0.8518518518518519,1.2619796324000607,0.5185185185185185,-11,438,36,77,0.3480623773732369,0.0,0.05763609260412452,-0.029642621532245346,True,5,0.10146798258195994,6.5250891204228765,3.60304331818384,4.0
76,0.23598843892363264,0.8888888888888888,1.5153535218873173,0.4074074074074074,10,459,34,11,0.22093899083459856,0.0,0.05159732281271842,-0.04495897285205413,True,4,0.05689777874110835,7.77750430149404,2.4192588747917148,4.0
